dataset,overlap
https://entity.api.hubmapconsortium.org/entities/0027cb59bcb4a34d5db83acaf934a9d9,1.0
https://entity.api.hubmapconsortium.org/entities/00318be0b7cfa3c6ed7fbeab08fe700b,1.0
https://entity.api.hubmapconsortium.org/entities/0110be17631ab95c722d476145feb00c,1.0
https://entity.api.hubmapconsortium.org/entities/0430a44e418219aafce608f4286b2a9b,1.0
https://entity.api.hubmapconsortium.org/entities/069a6930776ca28f8e10c3781aa13b56,1.0
https://entity.api.hubmapconsortium.org/entities/0b7015a55e38bd43b6cd6f58ddeb9059,1.0
https://entity.api.hubmapconsortium.org/entities/0cecd7cf1da6f81d3654c1712a5d61a2,1.0
https://entity.api.hubmapconsortium.org/entities/10b22d398b548c141167d4d9c4cbd79e,1.0
https://entity.api.hubmapconsortium.org/entities/15882fef75843d5cef518853a0e8246d,1.0
https://entity.api.hubmapconsortium.org/entities/17fb6d5db17936acc8fb613ce98ab808,1.0
https://entity.api.hubmapconsortium.org/entities/2553283ad2c4dfe0033ba752fe204551,1.0
https://entity.api.hubmapconsortium.org/entities/28d7789ef980031fb7278646fe43ffe1,1.0
https://entity.api.hubmapconsortium.org/entities/2a590db3d7ab1e1512816b165d95cdcf,1.0
https://entity.api.hubmapconsortium.org/entities/2d2356cf5b4eb114d958c31346c3dd2f,1.0
https://entity.api.hubmapconsortium.org/entities/2e4ae8b2f845f62e77cea46ef074981c,1.0
https://entity.api.hubmapconsortium.org/entities/2ee93cd3a39b317d58d3f308281a943e,1.0
https://entity.api.hubmapconsortium.org/entities/30a94db595b402bd813b020b0c51e233,1.0
https://entity.api.hubmapconsortium.org/entities/4348d5cf6485b949381a1c3358ab3f23,1.0
https://entity.api.hubmapconsortium.org/entities/44830922b634a9ecd4812b4f27ad4923,1.0
https://entity.api.hubmapconsortium.org/entities/450581eb06aeeb66419b4007d5e86baa,1.0
https://entity.api.hubmapconsortium.org/entities/4734034ae3026f586bab5269085ba0e6,1.0
https://entity.api.hubmapconsortium.org/entities/4e372aa4f8cfce62f2663c5ef810409a,1.0
https://entity.api.hubmapconsortium.org/entities/5137facf6f24b87d325b886ec8e5fb1f,1.0
https://entity.api.hubmapconsortium.org/entities/5a6470730104461ebb4358a11f70bd56,1.0
https://entity.api.hubmapconsortium.org/entities/5c57b3574a103e4990c8ed54cd82c6e6,1.0
https://entity.api.hubmapconsortium.org/entities/5f4e84e77fd0e4dec0c4d1cab468de15,1.0
https://entity.api.hubmapconsortium.org/entities/674116f3bb6c85dc933ea4ce6ffab05f,1.0
https://entity.api.hubmapconsortium.org/entities/67c6b239cf0986423273c874dd8c5e66,1.0
https://entity.api.hubmapconsortium.org/entities/69e35548d14ef026c46ddbab31f761da,1.0
https://entity.api.hubmapconsortium.org/entities/707d72d89097af2ff75d127137e5547e,1.0
https://entity.api.hubmapconsortium.org/entities/72fd0d8256cd9d9e9d0c75ed7b4431cc,1.0
https://entity.api.hubmapconsortium.org/entities/781a16848177ef6567d4963a0eb9fb0a,1.0
https://entity.api.hubmapconsortium.org/entities/78e90185d511ee0f6293e266a7354348,1.0
https://entity.api.hubmapconsortium.org/entities/7c8c57d0d7f39d680f30587cc2c91c64,1.0
https://entity.api.hubmapconsortium.org/entities/8306f9bdef96312bd36c18b45bd8e141,1.0
https://entity.api.hubmapconsortium.org/entities/8464b75a88e33b69027c39b0c3f43b2f,1.0
https://entity.api.hubmapconsortium.org/entities/892b7cae1138be0b8181cca95b901628,1.0
https://entity.api.hubmapconsortium.org/entities/8adfc58a225049fb0884a8289d560534,1.0
https://entity.api.hubmapconsortium.org/entities/911380980cd33eac5add7f72d86de146,1.0
https://entity.api.hubmapconsortium.org/entities/a1d17fdd270a69c813b872a927dfa5f3,1.0
https://entity.api.hubmapconsortium.org/entities/aa97a7c3e11e210bfa1629ee467bdcf6,1.0
https://entity.api.hubmapconsortium.org/entities/ae69348842e9e11be18cb3af99db834e,1.0
https://entity.api.hubmapconsortium.org/entities/3c1b10bc912c60c9afc36b7423695236,1.0
https://entity.api.hubmapconsortium.org/entities/b05c21f9c94ce1a22a9694cd0fe0291e,1.0
https://entity.api.hubmapconsortium.org/entities/35f5b75a7e3d0711f16b0a10219586fb,1.0
https://entity.api.hubmapconsortium.org/entities/37988db44acc8d0780e4e31cd057e789,1.0
https://entity.api.hubmapconsortium.org/entities/5039cf8619f6f8b5b4a14af1037e1d1f,1.0
https://entity.api.hubmapconsortium.org/entities/7646a8a89555a123a56446b66c183d58,1.0
https://entity.api.hubmapconsortium.org/entities/2d8b8b5f4cf8b1f955b1b823ae9a9441,1.0
https://entity.api.hubmapconsortium.org/entities/aece0d5303d9ce959cdab34a9e9f3003,1.0
https://entity.api.hubmapconsortium.org/entities/56742ee7dcbe8b03d964f519009db12d,1.0
https://entity.api.hubmapconsortium.org/entities/8c5e705001d5cc1c40dbd963ad848486,1.0
https://entity.api.hubmapconsortium.org/entities/ccbad4ffd323265937b842ea36ada4ad,1.0
https://entity.api.hubmapconsortium.org/entities/0a21f3fa27109790483f2a0729be53de,1.0
https://entity.api.hubmapconsortium.org/entities/c1a0c043d0a986d71552091cc1b09742,1.0
https://entity.api.hubmapconsortium.org/entities/bbcad31a55b1710dd5f889be8f63b62b,1.0
https://entity.api.hubmapconsortium.org/entities/f3a05f31c6ea4e2315bc66ff468a5a0a,1.0
https://entity.api.hubmapconsortium.org/entities/3bb5f743b039cb620d7ef234e0876f7a,1.0
https://entity.api.hubmapconsortium.org/entities/52ec5e111357f8fdd4ab2a3c5790cf4e,1.0
https://entity.api.hubmapconsortium.org/entities/2cd4eabca0b653af7f3b79534b2d641f,1.0
https://entity.api.hubmapconsortium.org/entities/d1af36911148fdd7001fd4eebe7222f1,1.0
https://entity.api.hubmapconsortium.org/entities/aeaaa0536b87935ad50cf69f1a0c3b1a,1.0
https://entity.api.hubmapconsortium.org/entities/b07a1fb96ddc2d4119e1f9a73d9c0a6a,1.0
https://entity.api.hubmapconsortium.org/entities/b0c09583b2a1b3c82eddce71706dba4b,1.0
https://entity.api.hubmapconsortium.org/entities/b3d66a3ef05dcca3984087b155c6e915,1.0
https://entity.api.hubmapconsortium.org/entities/b5ff6c347488c45deafeb6316dc7925b,1.0
https://entity.api.hubmapconsortium.org/entities/bba1f664447f3bf1bccb0b6ebf2f61ad,1.0
https://entity.api.hubmapconsortium.org/entities/bc26df5c01b624841a51e60cd8229c51,1.0
https://entity.api.hubmapconsortium.org/entities/bca0d1d7fcb2bdcde16a31d1484e83e5,1.0
https://entity.api.hubmapconsortium.org/entities/bf1896efe41bb1b17eee3bd77072454d,1.0
https://entity.api.hubmapconsortium.org/entities/c7beda8afe491243d634e3fd0531489b,1.0
https://entity.api.hubmapconsortium.org/entities/cdf9127efdfc96189845c35244d4d8ab,1.0
https://entity.api.hubmapconsortium.org/entities/d363e6062d4962bc7ef44d1d94afec62,1.0
https://entity.api.hubmapconsortium.org/entities/d655e506e3e07f345c65c3cc90d045e2,1.0
https://entity.api.hubmapconsortium.org/entities/d68e7b99290b6b7cca686b54955a2c22,1.0
https://entity.api.hubmapconsortium.org/entities/d88c483eea56204fd3282c5f62f31f0d,1.0
https://entity.api.hubmapconsortium.org/entities/dab09765ac710804749b195462381b32,1.0
https://entity.api.hubmapconsortium.org/entities/e3d2be85088ae5073758e6609167407a,1.0
https://entity.api.hubmapconsortium.org/entities/e901621d0400c18d3d69decd46a82c84,1.0
https://entity.api.hubmapconsortium.org/entities/ea4cfecb8495b36694d9a951510dc3c6,1.0
https://entity.api.hubmapconsortium.org/entities/f0d9d828d7d1e61289d72e52fafafafa,1.0
https://entity.api.hubmapconsortium.org/entities/f4b3c0e24e09e1e8c16f2e4e190a8cbb,1.0
https://entity.api.hubmapconsortium.org/entities/fcd7a8d45be34fdccb8fa400ea81a331,1.0
https://entity.api.hubmapconsortium.org/entities/fdfa344add5dcf9e8e0f6572efbf9312,1.0
https://entity.api.hubmapconsortium.org/entities/feea9accbe57b7a052563895ac543d91,1.0
https://entity.api.hubmapconsortium.org/entities/149e1be22a4961f9c6240480710836a3,1.0
https://entity.api.hubmapconsortium.org/entities/dbe24793ebc30c47e241150cccf4b0d1,1.0
https://entity.api.hubmapconsortium.org/entities/12de9dcdb62640f1687b832f69648a55,1.0
https://entity.api.hubmapconsortium.org/entities/c05a38c5210b870281b5aea01e290339,1.0
https://entity.api.hubmapconsortium.org/entities/a69367866979f878635b2b665a6a7e0c,1.0
https://entity.api.hubmapconsortium.org/entities/d87b2121ee1a5777c29a69307f806328,1.0
https://entity.api.hubmapconsortium.org/entities/6cd63d0ee2c67c3be41e4be1522d9c07,1.0
https://entity.api.hubmapconsortium.org/entities/fbb43e7c05d88c8700af94a32cb4e21d,1.0
https://entity.api.hubmapconsortium.org/entities/044b28971204366347e7ed0b7ef0c279,1.0
https://entity.api.hubmapconsortium.org/entities/d1e9f509063984326570cf603c5654f2,1.0
https://entity.api.hubmapconsortium.org/entities/524dc341a03c155b6f4140e9d72f9b1d,0.992
https://entity.api.hubmapconsortium.org/entities/e375a44f5cf5457c8f9b1132574c2436,0.992
https://entity.api.hubmapconsortium.org/entities/367fee3b40cba682063289505b922be1,0.981
https://api.cellxgene.cziscience.com/dp/v1/collections/e5f58829-1a66-40b5-a624-9046778e74f5#TSP2$kidney,0.793
https://entity.api.hubmapconsortium.org/entities/42ab155ddff1d33fe1c505c067828614,0.761
https://entity.api.hubmapconsortium.org/entities/d482512016a61ef479960e2cb58552f2,0.761
https://entity.api.hubmapconsortium.org/entities/254801a318687281ba3e473569d89a45,0.5680000000000001
https://entity.api.hubmapconsortium.org/entities/eb961e5dc50239d35f5398903c64e2b9,0.5680000000000001
https://entity.api.hubmapconsortium.org/entities/5a5ca03fa623602d9a859224aa40ace4,0.551
https://entity.api.hubmapconsortium.org/entities/5ee240959c96b49d960702755478b9fc,0.551
